1 356 0 0    3.38 40.78      8.89301e-05 40.4974 1.40667e-05 0 0 967298      0 8.89301e-05  0 40.4974  0 1.40667e-05  0 0  0 0  0 967298       0 8.89301e-05  0 40.4974  0 1.40667e-05  0 0  0 0  0 967298 
1 356 0 0    3.43 40.72      9.20296e-05 40.3786 1.5974e-05 0 0 967298      0 9.20296e-05  0 40.3786  0 1.5974e-05  0 0  0 0  0 967298       0 9.20296e-05  0 40.3786  0 1.5974e-05  0 0  0 0  0 967298 
1 356 0 0    3.5 40.86      0.000110149 40.4637 1.71661e-05 0 0 967298      0 0.000110149  0 40.4637  0 1.71661e-05  0 0  0 0  0 967298       0 0.000110149  0 40.4637  0 1.71661e-05  0 0  0 0  0 967298 
1 356 0 0    3.55 40.87      0.000101805 40.4543 1.5974e-05 0 0 967298      0 0.000101805  0 40.4543  0 1.5974e-05  0 0  0 0  0 967298       0 0.000101805  0 40.4543  0 1.5974e-05  0 0  0 0  0 967298 
1 356 0 0    3.59 40.83      9.70364e-05 40.3385 1.4782e-05 0 0 967298      0 9.70364e-05  0 40.3385  0 1.4782e-05  0 0  0 0  0 967298       0 9.70364e-05  0 40.3385  0 1.4782e-05  0 0  0 0  0 967298 
1 356 0 0    3.33 157.7      0.000226974 157.446 4.3869e-05 0 0 967298      0 0.000226974  0 157.446  0 4.3869e-05  0 0  0 0  0 967298       0 0.000226974  0 157.446  0 4.3869e-05  0 0  0 0  0 967298 
1 356 0 0    3.36 157.76      0.000192881 157.495 3.98159e-05 0 0 967298      0 0.000192881  0 157.495  0 3.98159e-05  0 0  0 0  0 967298       0 0.000192881  0 157.495  0 3.98159e-05  0 0  0 0  0 967298 
1 356 0 0    3.33 157.74      0.000221014 157.469 4.55379e-05 0 0 967298      0 0.000221014  0 157.469  0 4.55379e-05  0 0  0 0  0 967298       0 0.000221014  0 157.469  0 4.55379e-05  0 0  0 0  0 967298 
1 356 0 0    7.6 194.58      0.000225306 193.94 4.00543e-05 0 0 967298      0 0.000225306  0 193.94  0 4.00543e-05  0 0  0 0  0 967298       0 0.000225306  0 193.94  0 4.00543e-05  0 0  0 0  0 967298 
1 356 0 0    7.54 217.41      0.000219107 216.778 4.29153e-05 0 0 967298      0 0.000219107  0 216.778  0 4.29153e-05  0 0  0 0  0 967298       0 0.000219107  0 216.778  0 4.29153e-05  0 0  0 0  0 967298 
1 356 0 0    3.39 232.72      0.000231266 232.405 4.31538e-05 0 0 967298      0 0.000231266  0 232.405  0 4.31538e-05  0 0  0 0  0 967298       0 0.000231266  0 232.405  0 4.31538e-05  0 0  0 0  0 967298 
1 356 0 0    3.4 232.76      0.000212431 232.438 4.17233e-05 0 0 967298      0 0.000212431  0 232.438  0 4.17233e-05  0 0  0 0  0 967298       0 0.000212431  0 232.438  0 4.17233e-05  0 0  0 0  0 967298 
1 356 0 0    3.44 232.77      0.00026679 232.417 5.91278e-05 0 0 967298      0 0.00026679  0 232.417  0 5.91278e-05  0 0  0 0  0 967298       0 0.00026679  0 232.417  0 5.91278e-05  0 0  0 0  0 967298 
1 356 0 0    3.43 232.78      0.000239611 232.435 4.43459e-05 0 0 967298      0 0.000239611  0 232.435  0 4.43459e-05  0 0  0 0  0 967298       0 0.000239611  0 232.435  0 4.43459e-05  0 0  0 0  0 967298 
1 356 0 0    3.42 232.79      0.000218153 232.427 4.07696e-05 0 0 967298      0 0.000218153  0 232.427  0 4.07696e-05  0 0  0 0  0 967298       0 0.000218153  0 232.427  0 4.07696e-05  0 0  0 0  0 967298 
1 356 0 0    3.5 232.82      0.000243664 232.387 5.10216e-05 0 0 967298      0 0.000243664  0 232.387  0 5.10216e-05  0 0  0 0  0 967298       0 0.000243664  0 232.387  0 5.10216e-05  0 0  0 0  0 967298 
1 356 0 0    3.35 233.99      0.000181437 233.713 3.48091e-05 0 0 967298      0 0.000181437  0 233.713  0 3.48091e-05  0 0  0 0  0 967298       0 0.000181437  0 233.713  0 3.48091e-05  0 0  0 0  0 967298 
1 356 0 0    5.18 1798.45      0.00167322 1798.06 0.000339508 0 0 967298      0 0.00167322  0 1798.06  0 0.000339508  0 0  0 0  0 967298       0 0.00167322  0 1798.06  0 0.000339508  0 0  0 0  0 967298 
1 356 0 0    4.69 1798.99      0.00112581 1798.55 0.000229836 0 0 967298      0 0.00112581  0 1798.55  0 0.000229836  0 0  0 0  0 967298       0 0.00112581  0 1798.55  0 0.000229836  0 0  0 0  0 967298 
1 356 0 0    5.19 1798.54      0.00153923 1798.14 0.000330448 0 0 967298      0 0.00153923  0 1798.14  0 0.000330448  0 0  0 0  0 967298       0 0.00153923  0 1798.14  0 0.000330448  0 0  0 0  0 967298 
1 356 0 0    5.23 1798.6      0.00149465 1798.13 0.000333548 0 0 967298      0 0.00149465  0 1798.13  0 0.000333548  0 0  0 0  0 967298       0 0.00149465  0 1798.13  0 0.000333548  0 0  0 0  0 967298 
1 356 0 0    4.74 1799.32      0.0014627 1798.85 0.000328064 0 0 967298      0 0.0014627  0 1798.85  0 0.000328064  0 0  0 0  0 967298       0 0.0014627  0 1798.85  0 0.000328064  0 0  0 0  0 967298 
1 356 0 0    4.68 1799.46      0.00117493 1799.03 0.000241041 0 0 967298      0 0.00117493  0 1799.03  0 0.000241041  0 0  0 0  0 967298       0 0.00117493  0 1799.03  0 0.000241041  0 0  0 0  0 967298 
1 356 0 0    5.17 1798.82      0.00133038 1798.46 0.000308275 0 0 967298      0 0.00133038  0 1798.46  0 0.000308275  0 0  0 0  0 967298       0 0.00133038  0 1798.46  0 0.000308275  0 0  0 0  0 967298 
1 356 0 0    5.21 1799.34      0.0013895 1798.91 0.000303507 0 0 967298      0 0.0013895  0 1798.91  0 0.000303507  0 0  0 0  0 967298       0 0.0013895  0 1798.91  0 0.000303507  0 0  0 0  0 967298 
1 356 0 0    5.21 1799.39      0.00132132 1798.96 0.000327826 0 0 967298      0 0.00132132  0 1798.96  0 0.000327826  0 0  0 0  0 967298       0 0.00132132  0 1798.96  0 0.000327826  0 0  0 0  0 967298 
1 356 0 0    5.15 1799.9      0.00160313 1799.56 0.000300884 0 0 967298      0 0.00160313  0 1799.56  0 0.000300884  0 0  0 0  0 967298       0 0.00160313  0 1799.56  0 0.000300884  0 0  0 0  0 967298 
1 356 0 0    4.71 1800.53      0.0010426 1800.1 0.000197411 0 0 967298      0 0.0010426  0 1800.1  0 0.000197411  0 0  0 0  0 967298       0 0.0010426  0 1800.1  0 0.000197411  0 0  0 0  0 967298 
1 356 0 0    5.21 1800.22      0.00142884 1799.79 0.000315666 0 0 967298      0 0.00142884  0 1799.79  0 0.000315666  0 0  0 0  0 967298       0 0.00142884  0 1799.79  0 0.000315666  0 0  0 0  0 967298 
